,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,Number of bugs
4758,L33253,WorldClockServer.java,example/src/main/java/io/netty/example/worldclock/WorldClockServer.java,L33248,2,0,34,1,4,4057,2,0
4759,L33254,WorldClockServerHandler.java,example/src/main/java/io/netty/example/worldclock/WorldClockServerHandler.java,L33248,2,0,52,0,4,4057,1,1
4760,L33255,WorldClockServerInitializer.java,example/src/main/java/io/netty/example/worldclock/WorldClockServerInitializer.java,L33248,1,0,19,0,1,4057,1,0
4761,L30758,HttpStaticFileServer.java,example/src/main/java/io/netty/example/http/file/HttpStaticFileServer.java,L30757,2,0,34,1,15,4057,3,0
4762,L30759,HttpStaticFileServerHandler.java,example/src/main/java/io/netty/example/http/file/HttpStaticFileServerHandler.java,L30757,30,0,238,0,35,4057,5,1
4763,L30760,HttpStaticFileServerInitializer.java,example/src/main/java/io/netty/example/http/file/HttpStaticFileServerInitializer.java,L30757,1,0,19,0,3,4057,2,0
4764,L30898,HttpHelloWorldServer.java,example/src/main/java/io/netty/example/http/helloworld/HttpHelloWorldServer.java,L30897,2,0,38,0,1,1649,1,0
4765,L30899,HttpHelloWorldServerHandler.java,example/src/main/java/io/netty/example/http/helloworld/HttpHelloWorldServerHandler.java,L30897,4,0,46,0,7,1649,2,0
4766,L30900,HttpHelloWorldServerInitializer.java,example/src/main/java/io/netty/example/http/helloworld/HttpHelloWorldServerInitializer.java,L30897,1,0,13,0,2,1649,1,0
4767,L30939,HttpSnoopClient.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopClient.java,L30938,9,0,69,2,29,1649,4,1
4768,L30940,HttpSnoopClientHandler.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopClientHandler.java,L30938,8,0,47,0,19,4057,4,1
4769,L30941,HttpSnoopClientInitializer.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopClientInitializer.java,L30938,2,0,31,1,5,4057,1,1
4770,L30942,HttpSnoopServer.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopServer.java,L30938,2,0,36,1,17,4057,3,0
4771,L30943,HttpSnoopServerHandler.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopServerHandler.java,L30938,20,0,139,2,39,4057,4,1
4772,L30944,HttpSnoopServerInitializer.java,example/src/main/java/io/netty/example/http/snoop/HttpSnoopServerInitializer.java,L30938,1,0,15,0,6,1649,2,0
4773,L31045,HttpUploadClient.java,example/src/main/java/io/netty/example/http/upload/HttpUploadClient.java,L31044,30,0,246,2,25,1649,4,1
4774,L31046,HttpUploadClientHandler.java,example/src/main/java/io/netty/example/http/upload/HttpUploadClientHandler.java,L31044,10,0,54,0,18,4057,4,1
4775,L31047,HttpUploadClientIntializer.java,example/src/main/java/io/netty/example/http/upload/HttpUploadClientIntializer.java,L31044,2,0,29,0,1,71,1,1
4776,L31048,HttpUploadServer.java,example/src/main/java/io/netty/example/http/upload/HttpUploadServer.java,L31044,3,0,41,1,10,4057,3,1
4777,L31049,HttpUploadServerHandler.java,example/src/main/java/io/netty/example/http/upload/HttpUploadServerHandler.java,L31044,33,0,310,2,33,1649,4,1
4778,L31050,HttpUploadServerInitializer.java,example/src/main/java/io/netty/example/http/upload/HttpUploadServerInitializer.java,L31044,2,0,25,0,2,4057,2,1
4779,L32627,package-info.java,example/src/main/java/io/netty/example/udt/echo/package-info.java,L32626,1,0,1,0,1,9,1,0
4780,L33026,package-info.java,example/src/main/java/io/netty/example/udt/util/package-info.java,L33025,1,0,1,0,1,9,1,0
4781,L33027,UtilConsoleReporter.java,example/src/main/java/io/netty/example/udt/util/UtilConsoleReporter.java,L33025,12,0,192,0,2,4057,2,0
4782,L33028,UtilThreadFactory.java,example/src/main/java/io/netty/example/udt/util/UtilThreadFactory.java,L33025,1,0,14,0,3,4057,2,0
4783,L31237,AutobahnServer.java,example/src/main/java/io/netty/example/http/websocketx/autobahn/AutobahnServer.java,L31236,2,0,37,1,21,4057,5,0
4784,L31238,AutobahnServerHandler.java,example/src/main/java/io/netty/example/http/websocketx/autobahn/AutobahnServerHandler.java,L31236,16,0,108,1,36,1649,4,0
4785,L31239,AutobahnServerInitializer.java,example/src/main/java/io/netty/example/http/websocketx/autobahn/AutobahnServerInitializer.java,L31236,1,0,17,0,2,1649,2,0
4786,L31240,package-info.java,example/src/main/java/io/netty/example/http/websocketx/autobahn/package-info.java,L31236,1,0,1,0,11,4057,4,0
4787,L31299,package-info.java,example/src/main/java/io/netty/example/http/websocketx/client/package-info.java,L31298,1,0,1,0,3,4057,1,0
4788,L31300,WebSocketClient.java,example/src/main/java/io/netty/example/http/websocketx/client/WebSocketClient.java,L31298,4,0,76,2,37,1649,5,0
4789,L31301,WebSocketClientHandler.java,example/src/main/java/io/netty/example/http/websocketx/client/WebSocketClientHandler.java,L31298,7,0,68,2,22,4057,3,1
4790,L31346,CustomTextFrameHandler.java,example/src/main/java/io/netty/example/http/websocketx/html5/CustomTextFrameHandler.java,L31345,1,0,11,0,7,1649,3,1
4791,L31347,WebSocketServer.java,example/src/main/java/io/netty/example/http/websocketx/html5/WebSocketServer.java,L31345,2,0,53,1,7,4057,3,0
4792,L31380,package-info.java,example/src/main/java/io/netty/example/http/websocketx/server/package-info.java,L31379,1,0,1,0,1,4057,1,0
4793,L31381,WebSocketServer.java,example/src/main/java/io/netty/example/http/websocketx/server/WebSocketServer.java,L31379,2,0,38,1,23,4057,6,0
4794,L31382,WebSocketServerHandler.java,example/src/main/java/io/netty/example/http/websocketx/server/WebSocketServerHandler.java,L31379,15,0,113,1,36,1649,3,1
4795,L31383,WebSocketServerIndexPage.java,example/src/main/java/io/netty/example/http/websocketx/server/WebSocketServerIndexPage.java,L31379,1,0,55,0,6,4057,1,0
4796,L31384,WebSocketServerInitializer.java,example/src/main/java/io/netty/example/http/websocketx/server/WebSocketServerInitializer.java,L31379,1,0,15,0,3,1649,2,0
4797,L31450,package-info.java,example/src/main/java/io/netty/example/http/websocketx/sslserver/package-info.java,L31449,1,0,1,0,3,4057,1,0
4798,L31451,WebSocketSslServer.java,example/src/main/java/io/netty/example/http/websocketx/sslserver/WebSocketSslServer.java,L31449,6,0,48,1,20,4057,5,0
4799,L31452,WebSocketSslServerHandler.java,example/src/main/java/io/netty/example/http/websocketx/sslserver/WebSocketSslServerHandler.java,L31449,15,0,114,1,37,1649,3,1
4800,L31453,WebSocketSslServerInitializer.java,example/src/main/java/io/netty/example/http/websocketx/sslserver/WebSocketSslServerInitializer.java,L31449,1,0,22,0,3,4057,2,0
4801,L31454,WebSocketSslServerSslContext.java,example/src/main/java/io/netty/example/http/websocketx/sslserver/WebSocketSslServerSslContext.java,L31449,4,0,49,0,16,1649,3,0
4802,L32630,ByteEchoClient.java,example/src/main/java/io/netty/example/udt/echo/bytes/ByteEchoClient.java,L32629,1,0,58,1,10,4057,3,0
4803,L32631,ByteEchoClientHandler.java,example/src/main/java/io/netty/example/udt/echo/bytes/ByteEchoClientHandler.java,L32629,2,0,44,0,10,1649,3,1
4804,L32632,ByteEchoServer.java,example/src/main/java/io/netty/example/udt/echo/bytes/ByteEchoServer.java,L32629,1,0,55,1,8,4057,3,0
4805,L32633,ByteEchoServerHandler.java,example/src/main/java/io/netty/example/udt/echo/bytes/ByteEchoServerHandler.java,L32629,1,0,29,0,9,4057,3,0
4806,L32634,package-info.java,example/src/main/java/io/netty/example/udt/echo/bytes/package-info.java,L32629,1,0,1,0,1,9,1,0
4807,L32751,MsgEchoClient.java,example/src/main/java/io/netty/example/udt/echo/message/MsgEchoClient.java,L32750,1,0,58,1,10,4057,3,0
4808,L32752,MsgEchoClientHandler.java,example/src/main/java/io/netty/example/udt/echo/message/MsgEchoClientHandler.java,L32750,2,0,46,1,11,1649,3,1
4809,L32753,MsgEchoServer.java,example/src/main/java/io/netty/example/udt/echo/message/MsgEchoServer.java,L32750,1,0,55,1,8,4057,3,0
4810,L32754,MsgEchoServerHandler.java,example/src/main/java/io/netty/example/udt/echo/message/MsgEchoServerHandler.java,L32750,1,0,29,1,10,4057,3,0
4811,L32755,package-info.java,example/src/main/java/io/netty/example/udt/echo/message/package-info.java,L32750,1,0,1,0,1,9,1,0
4812,L32857,Config.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/Config.java,L32856,1,0,9,0,1,0,0,0
4813,L32858,MsgEchoPeerBase.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/MsgEchoPeerBase.java,L32856,1,0,45,1,3,4057,1,0
4814,L32859,MsgEchoPeerHandler.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/MsgEchoPeerHandler.java,L32856,2,0,47,0,6,1649,2,1
4815,L32860,MsgEchoPeerOne.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/MsgEchoPeerOne.java,L32856,1,0,20,0,1,0,0,0
4816,L32861,MsgEchoPeerTwo.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/MsgEchoPeerTwo.java,L32856,1,0,23,0,1,0,0,0
4817,L32862,package-info.java,example/src/main/java/io/netty/example/udt/echo/rendezvous/package-info.java,L32856,1,0,1,0,1,0,0,0
4818,L32949,ByteEchoPeerBase.java,example/src/main/java/io/netty/example/udt/echo/rendezvousBytes/ByteEchoPeerBase.java,L32948,1,0,44,1,3,4057,1,0
4819,L32950,ByteEchoPeerHandler.java,example/src/main/java/io/netty/example/udt/echo/rendezvousBytes/ByteEchoPeerHandler.java,L32948,2,0,43,0,5,1649,2,1
4820,L32951,ByteEchoPeerOne.java,example/src/main/java/io/netty/example/udt/echo/rendezvousBytes/ByteEchoPeerOne.java,L32948,1,0,20,0,1,0,0,0
4821,L32952,ByteEchoPeerTwo.java,example/src/main/java/io/netty/example/udt/echo/rendezvousBytes/ByteEchoPeerTwo.java,L32948,1,0,23,0,1,0,0,0
4822,L32953,package-info.java,example/src/main/java/io/netty/example/udt/echo/rendezvousBytes/package-info.java,L32948,1,0,1,0,1,0,0,0
4823,L45489,package-info.java,microbench/src/test/java/com/google/caliper/package-info.java,L45488,1,0,1,0,1,4,1,0
4824,L45490,StandardVm.java,microbench/src/test/java/com/google/caliper/StandardVm.java,L45488,3,0,34,0,4,4057,2,0
4825,L34428,ByteBufAllocatorBenchmark.java,microbench/src/test/java/io/netty/microbench/buffer/ByteBufAllocatorBenchmark.java,L34427,4,0,71,0,5,4,2,0
4826,L34429,package-info.java,microbench/src/test/java/io/netty/microbench/buffer/package-info.java,L34427,1,0,1,0,1,4,1,0
4827,L34494,DefaultBenchmark.java,microbench/src/test/java/io/netty/microbench/util/DefaultBenchmark.java,L34493,17,0,89,0,3,4,2,0
4828,L34495,package-info.java,microbench/src/test/java/io/netty/microbench/util/package-info.java,L34493,1,0,1,0,1,4,1,0
4829,L34535,Dummy.java,testsuite-osgi/testsuite-osgi-deps/src/main/java/io/netty/verify/osgi/Dummy.java,L34534,1,0,3,0,1,4057,1,0
4830,L34536,package-info.java,testsuite-osgi/testsuite-osgi-deps/src/main/java/io/netty/verify/osgi/package-info.java,L34534,1,0,1,0,1,4057,1,0
4831,L34543,DependencyIT.java,testsuite-osgi/testsuite-osgi-deps/src/test/java/io/netty/verify/osgi/DependencyIT.java,L34542,3,0,33,0,3,4057,2,0
4832,L34552,NettyService.java,testsuite-osgi/testsuite-osgi-exam/src/main/java/io/netty/verify/osgi/NettyService.java,L34551,1,0,4,0,1,4057,1,0
4833,L34553,NettyServiceProvider.java,testsuite-osgi/testsuite-osgi-exam/src/main/java/io/netty/verify/osgi/NettyServiceProvider.java,L34551,1,0,22,0,1,4057,1,0
4834,L34554,package-info.java,testsuite-osgi/testsuite-osgi-exam/src/main/java/io/netty/verify/osgi/package-info.java,L34551,1,0,1,0,1,4057,1,0
4835,L34561,BasicFrameworkIT.java,testsuite-osgi/testsuite-osgi-exam/src/test/java/io/netty/verify/osgi/BasicFrameworkIT.java,L34560,1,0,29,0,1,4057,1,0
4836,L34562,NioUdtMessageRendezvousChannelIT.java,testsuite-osgi/testsuite-osgi-exam/src/test/java/io/netty/verify/osgi/NioUdtMessageRendezvousChannelIT.java,L34560,1,0,37,0,1,4057,1,0
4837,L34563,UnitHelp.java,testsuite-osgi/testsuite-osgi-exam/src/test/java/io/netty/verify/osgi/UnitHelp.java,L34560,4,0,59,0,3,9,3,0
4838,L34572,Dummy.java,testsuite-osgi/testsuite-osgi-split/src/main/java/io/netty/verify/osgi/Dummy.java,L34571,1,0,3,0,1,4057,1,0
4839,L34573,package-info.java,testsuite-osgi/testsuite-osgi-split/src/main/java/io/netty/verify/osgi/package-info.java,L34571,1,0,1,0,1,4057,1,0
4840,L34580,TestDummy.java,testsuite-osgi/testsuite-osgi-split/src/test/java/io/netty/verify/osgi/TestDummy.java,L34579,1,0,3,0,1,4057,1,0
4841,L35962,BogusKeyStore.java,testsuite/src/test/java/io/netty/testsuite/util/BogusKeyStore.java,L35961,2,0,278,0,1,4057,1,1
4842,L35963,BogusSslContextFactory.java,testsuite/src/test/java/io/netty/testsuite/util/BogusSslContextFactory.java,L35961,1,0,46,0,1,4057,1,1
4843,L35964,BogusTrustManagerFactory.java,testsuite/src/test/java/io/netty/testsuite/util/BogusTrustManagerFactory.java,L35961,1,0,35,0,1,4057,1,1
4844,L35965,package-info.java,testsuite/src/test/java/io/netty/testsuite/util/package-info.java,L35961,1,0,1,0,1,4,1,0
4845,L35966,TestUtils.java,testsuite/src/test/java/io/netty/testsuite/util/TestUtils.java,L35961,13,0,72,2,19,4,4,0
4846,L34682,AbstractSctpTest.java,testsuite/src/test/java/io/netty/testsuite/transport/sctp/AbstractSctpTest.java,L34681,3,0,47,0,7,4057,4,0
4847,L34683,package-info.java,testsuite/src/test/java/io/netty/testsuite/transport/sctp/package-info.java,L34681,1,0,1,0,1,4,1,0
4848,L34684,SctpEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/sctp/SctpEchoTest.java,L34681,19,0,133,0,10,1649,4,0
4849,L34685,SctpTestPermutation.java,testsuite/src/test/java/io/netty/testsuite/transport/sctp/SctpTestPermutation.java,L34681,5,0,101,0,5,4057,4,0
4850,L34860,AbstractClientSocketTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/AbstractClientSocketTest.java,L34859,3,0,38,0,11,4057,4,0
4851,L34861,AbstractDatagramTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/AbstractDatagramTest.java,L34859,3,0,43,0,20,4057,3,0
4852,L34862,AbstractServerSocketTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/AbstractServerSocketTest.java,L34859,3,0,39,1,9,4057,3,0
4853,L34863,AbstractSocketTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/AbstractSocketTest.java,L34859,3,0,47,0,17,4057,4,0
4854,L34864,DatagramMulticastTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/DatagramMulticastTest.java,L34859,4,0,74,0,29,1649,4,0
4855,L34865,DatagramUnicastTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/DatagramUnicastTest.java,L34859,1,0,38,0,18,1649,3,0
4856,L34866,package-info.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/package-info.java,L34859,1,0,1,0,1,4,1,0
4857,L34867,ServerSocketSuspendTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/ServerSocketSuspendTest.java,L34859,5,0,73,1,14,4057,3,0
4858,L34868,SocketBufReleaseTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketBufReleaseTest.java,L34859,1,0,69,0,8,1649,2,0
4859,L34869,SocketConnectionAttemptTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketConnectionAttemptTest.java,L34859,5,0,77,0,3,4057,2,0
4860,L34870,SocketEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketEchoTest.java,L34859,21,0,179,2,28,4057,3,0
4861,L34871,SocketFileRegionTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketFileRegionTest.java,L34859,10,0,111,0,10,1649,2,0
4862,L34872,SocketFixedLengthEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketFixedLengthEchoTest.java,L34859,19,0,124,0,16,1649,2,0
4863,L34873,SocketGatheringWriteTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketGatheringWriteTest.java,L34859,15,0,113,0,8,1649,2,0
4864,L34874,SocketObjectEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketObjectEchoTest.java,L34859,18,0,129,0,11,1649,2,0
4865,L34875,SocketShutdownOutputByPeerTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketShutdownOutputByPeerTest.java,L34859,2,0,101,0,13,4057,3,0
4866,L34876,SocketShutdownOutputBySelfTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketShutdownOutputBySelfTest.java,L34859,2,0,62,1,15,1649,4,0
4867,L34877,SocketSpdyEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketSpdyEchoTest.java,L34859,24,0,215,0,23,1649,2,0
4868,L34878,SocketSslEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketSslEchoTest.java,L34859,22,0,166,4,30,1649,5,0
4869,L34879,SocketStartTlsTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketStartTlsTest.java,L34859,19,0,176,3,17,4057,2,0
4870,L34880,SocketStringEchoTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketStringEchoTest.java,L34859,20,0,131,1,15,1649,2,0
4871,L34881,SocketTestPermutation.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/SocketTestPermutation.java,L34859,5,0,145,3,35,1649,4,0
4872,L34882,WriteBeforeRegisteredTest.java,testsuite/src/test/java/io/netty/testsuite/transport/socket/WriteBeforeRegisteredTest.java,L34859,2,0,31,0,4,1649,2,0
4873,L35825,package-info.java,testsuite/src/test/java/io/netty/testsuite/transport/udt/package-info.java,L35824,1,0,1,0,1,9,1,0
4874,L35826,UDTClientServerConnectionTest.java,testsuite/src/test/java/io/netty/testsuite/transport/udt/UDTClientServerConnectionTest.java,L35824,20,0,306,0,9,4057,4,0
4875,L36046,AbstractChannel.java,transport/src/main/java/io/netty/channel/AbstractChannel.java,L36045,63,0,599,17,163,1649,5,2
4876,L36047,AbstractServerChannel.java,transport/src/main/java/io/netty/channel/AbstractServerChannel.java,L36045,1,0,50,1,50,4057,3,0
4877,L36048,AdaptiveRecvByteBufAllocator.java,transport/src/main/java/io/netty/channel/AdaptiveRecvByteBufAllocator.java,L36045,15,0,120,0,4,4057,1,0
4878,L36049,AddressedEnvelope.java,transport/src/main/java/io/netty/channel/AddressedEnvelope.java,L36045,1,0,8,0,2,4057,1,0
4879,L36050,Channel.java,transport/src/main/java/io/netty/channel/Channel.java,L36045,1,0,42,2,63,4057,3,0
4880,L36051,ChannelConfig.java,transport/src/main/java/io/netty/channel/ChannelConfig.java,L36045,1,0,30,2,24,1649,4,1
4881,L36052,ChannelDuplexHandler.java,transport/src/main/java/io/netty/channel/ChannelDuplexHandler.java,L36045,1,0,39,0,6,1649,2,0
4882,L36053,ChannelException.java,transport/src/main/java/io/netty/channel/ChannelException.java,L36045,1,0,15,0,5,4057,2,0
4883,L36054,ChannelFlushPromiseNotifier.java,transport/src/main/java/io/netty/channel/ChannelFlushPromiseNotifier.java,L36045,22,0,142,1,7,4,3,0
4884,L36055,ChannelFuture.java,transport/src/main/java/io/netty/channel/ChannelFuture.java,L36045,1,0,25,0,23,4057,3,0
4885,L36056,ChannelFutureListener.java,transport/src/main/java/io/netty/channel/ChannelFutureListener.java,L36045,3,0,27,0,8,4057,2,0
4886,L36057,ChannelHandler.java,transport/src/main/java/io/netty/channel/ChannelHandler.java,L36045,1,0,20,2,25,4057,4,0
4887,L36058,ChannelHandlerAdapter.java,transport/src/main/java/io/netty/channel/ChannelHandlerAdapter.java,L36045,1,0,18,2,26,1649,2,0
4888,L36059,ChannelHandlerContext.java,transport/src/main/java/io/netty/channel/ChannelHandlerContext.java,L36045,1,0,35,1,48,4,4,0
4889,L36060,ChannelInboundHandler.java,transport/src/main/java/io/netty/channel/ChannelInboundHandler.java,L36045,1,0,11,1,21,4057,3,0
4890,L36061,ChannelInboundHandlerAdapter.java,transport/src/main/java/io/netty/channel/ChannelInboundHandlerAdapter.java,L36045,1,0,35,0,29,1649,3,0
4891,L36062,ChannelInboundInvoker.java,transport/src/main/java/io/netty/channel/ChannelInboundInvoker.java,L36045,1,0,12,0,15,4057,2,0
4892,L36063,ChannelInitializer.java,transport/src/main/java/io/netty/channel/ChannelInitializer.java,L36045,4,0,34,0,22,4,4,0
4893,L36064,ChannelMetadata.java,transport/src/main/java/io/netty/channel/ChannelMetadata.java,L36045,1,0,11,0,6,4057,3,0
4894,L36065,ChannelOption.java,transport/src/main/java/io/netty/channel/ChannelOption.java,L36045,2,0,70,2,24,1649,3,4
4895,L36066,ChannelOutboundBuffer.java,transport/src/main/java/io/netty/channel/ChannelOutboundBuffer.java,L36045,50,0,437,7,30,1649,2,4
4896,L36067,ChannelOutboundHandler.java,transport/src/main/java/io/netty/channel/ChannelOutboundHandler.java,L36045,1,0,14,1,19,1649,2,0
4897,L36068,ChannelOutboundHandlerAdapter.java,transport/src/main/java/io/netty/channel/ChannelOutboundHandlerAdapter.java,L36045,1,0,40,0,27,1649,2,0
4898,L36069,ChannelOutboundInvoker.java,transport/src/main/java/io/netty/channel/ChannelOutboundInvoker.java,L36045,1,0,24,1,28,4,3,0
4899,L36070,ChannelPipeline.java,transport/src/main/java/io/netty/channel/ChannelPipeline.java,L36045,1,0,69,4,44,4,6,0
4900,L36071,ChannelPipelineException.java,transport/src/main/java/io/netty/channel/ChannelPipelineException.java,L36045,1,0,15,0,6,4057,2,0
4901,L36072,ChannelProgressiveFuture.java,transport/src/main/java/io/netty/channel/ChannelProgressiveFuture.java,L36045,1,0,22,0,2,4057,1,0
4902,L36073,ChannelProgressiveFutureListener.java,transport/src/main/java/io/netty/channel/ChannelProgressiveFutureListener.java,L36045,1,0,5,0,1,4057,1,0
4903,L36074,ChannelProgressivePromise.java,transport/src/main/java/io/netty/channel/ChannelProgressivePromise.java,L36045,1,0,30,0,3,4057,1,0
4904,L36075,ChannelPromise.java,transport/src/main/java/io/netty/channel/ChannelPromise.java,L36045,1,0,30,0,6,4057,2,0
4905,L36076,ChannelPromiseAggregator.java,transport/src/main/java/io/netty/channel/ChannelPromiseAggregator.java,L36045,12,0,58,0,8,1649,2,0
4906,L36077,ChannelPromiseNotifier.java,transport/src/main/java/io/netty/channel/ChannelPromiseNotifier.java,L36045,7,0,28,0,2,1649,1,0
4907,L36078,ChannelPropertyAccess.java,transport/src/main/java/io/netty/channel/ChannelPropertyAccess.java,L36045,1,0,14,1,14,1649,3,0
4908,L36079,CombinedChannelDuplexHandler.java,transport/src/main/java/io/netty/channel/CombinedChannelDuplexHandler.java,L36045,7,0,141,1,6,1649,2,0
4909,L36080,CompleteChannelFuture.java,transport/src/main/java/io/netty/channel/CompleteChannelFuture.java,L36045,3,0,68,0,18,4057,3,0
4910,L36081,ConnectTimeoutException.java,transport/src/main/java/io/netty/channel/ConnectTimeoutException.java,L36045,1,0,10,0,1,1649,1,0
4911,L36082,DefaultAddressedEnvelope.java,transport/src/main/java/io/netty/channel/DefaultAddressedEnvelope.java,L36045,4,0,69,0,3,1649,2,0
4912,L36083,DefaultChannelConfig.java,transport/src/main/java/io/netty/channel/DefaultChannelConfig.java,L36045,34,0,243,3,21,1649,3,3
4913,L36084,DefaultChannelHandlerContext.java,transport/src/main/java/io/netty/channel/DefaultChannelHandlerContext.java,L36045,83,0,756,24,157,1649,6,0
4914,L36085,DefaultChannelPipeline.java,transport/src/main/java/io/netty/channel/DefaultChannelPipeline.java,L36045,68,0,808,22,181,1649,6,0
4915,L36086,DefaultChannelProgressivePromise.java,transport/src/main/java/io/netty/channel/DefaultChannelProgressivePromise.java,L36045,3,0,113,0,4,4057,2,0
4916,L36087,DefaultChannelPromise.java,transport/src/main/java/io/netty/channel/DefaultChannelPromise.java,L36045,3,0,106,0,20,4057,2,0
4917,L36088,DefaultFileRegion.java,transport/src/main/java/io/netty/channel/DefaultFileRegion.java,L36045,10,0,67,0,14,1,4,0
4918,L36089,DefaultMessageSizeEstimator.java,transport/src/main/java/io/netty/channel/DefaultMessageSizeEstimator.java,L36045,5,0,36,0,1,1649,1,0
4919,L36090,EventLoop.java,transport/src/main/java/io/netty/channel/EventLoop.java,L36045,1,0,6,0,14,1649,3,0
4920,L36091,EventLoopException.java,transport/src/main/java/io/netty/channel/EventLoopException.java,L36045,1,0,15,0,6,4,3,0
4921,L36092,EventLoopGroup.java,transport/src/main/java/io/netty/channel/EventLoopGroup.java,L36045,1,0,8,0,7,1649,3,0
4922,L36093,FailedChannelFuture.java,transport/src/main/java/io/netty/channel/FailedChannelFuture.java,L36045,2,0,31,0,14,1649,3,0
4923,L36094,FileRegion.java,transport/src/main/java/io/netty/channel/FileRegion.java,L36045,1,0,11,0,5,4057,2,0
4924,L36096,MessageSizeEstimator.java,transport/src/main/java/io/netty/channel/MessageSizeEstimator.java,L36045,1,0,7,0,1,1649,1,0
4925,L36097,MultithreadEventLoopGroup.java,transport/src/main/java/io/netty/channel/MultithreadEventLoopGroup.java,L36045,2,0,37,1,11,1649,3,0
4926,L36098,package-info.java,transport/src/main/java/io/netty/channel/package-info.java,L36045,1,0,1,0,4,4057,2,0
4927,L36099,RecvByteBufAllocator.java,transport/src/main/java/io/netty/channel/RecvByteBufAllocator.java,L36045,1,0,11,0,1,1649,1,0
4928,L36100,ServerChannel.java,transport/src/main/java/io/netty/channel/ServerChannel.java,L36045,1,0,4,0,3,4057,2,0
4929,L36101,SimpleChannelInboundHandler.java,transport/src/main/java/io/netty/channel/SimpleChannelInboundHandler.java,L36045,4,0,43,0,6,4,3,1
4930,L36102,SingleThreadEventLoop.java,transport/src/main/java/io/netty/channel/SingleThreadEventLoop.java,L36045,3,0,32,3,41,1649,4,0
4931,L36103,SucceededChannelFuture.java,transport/src/main/java/io/netty/channel/SucceededChannelFuture.java,L36045,1,0,15,0,15,1649,3,0
4932,L36104,ThreadPerChannelEventLoop.java,transport/src/main/java/io/netty/channel/ThreadPerChannelEventLoop.java,L36045,9,0,54,1,6,1649,2,0
4933,L36105,ThreadPerChannelEventLoopGroup.java,transport/src/main/java/io/netty/channel/ThreadPerChannelEventLoopGroup.java,L36045,39,0,215,1,7,4057,2,0
4934,L36106,VoidChannelPromise.java,transport/src/main/java/io/netty/channel/VoidChannelPromise.java,L36045,5,0,146,2,11,1649,2,0
4935,L45133,AbstractBootstrap.java,transport/src/main/java/io/netty/bootstrap/AbstractBootstrap.java,L45132,28,0,290,1,25,1649,5,2
4936,L45134,Bootstrap.java,transport/src/main/java/io/netty/bootstrap/Bootstrap.java,L45132,14,0,151,5,40,4057,4,0
4937,L45135,ChannelFactory.java,transport/src/main/java/io/netty/bootstrap/ChannelFactory.java,L45132,1,0,5,0,4,4057,1,0
4938,L45136,package-info.java,transport/src/main/java/io/netty/bootstrap/package-info.java,L45132,1,0,1,0,6,4057,2,0
4939,L45137,ServerBootstrap.java,transport/src/main/java/io/netty/bootstrap/ServerBootstrap.java,L45132,23,0,240,3,77,4057,3,0
4940,L40473,EmbeddedChannel.java,transport/src/main/java/io/netty/channel/embedded/EmbeddedChannel.java,L40472,21,0,231,0,12,1649,2,1
4941,L40474,EmbeddedEventLoop.java,transport/src/main/java/io/netty/channel/embedded/EmbeddedEventLoop.java,L40472,4,0,86,2,13,4057,3,0
